# mcs  energy  magnetization 
966  -0.8096  -0.01 
967  -0.804  -0.0054 
968  -0.8016  0.0094 
969  -0.814  0.0238 
970  -0.8408  0.051 
971  -0.8324  0.0542 
972  -0.8032  0.0192 
973  -0.8416  0.0072 
974  -0.8372  0.0348 
975  -0.8364  -0.0034 
976  -0.8292  0.0294 
977  -0.7724  -0.0242 
978  -0.8168  -0.044 
979  -0.8324  -0.0562 
980  -0.844  -0.0442 
981  -0.8324  -0.0644 
982  -0.8288  -0.0584 
983  -0.86  -0.0648 
984  -0.8568  -0.0086 
985  -0.82  -0.0112 
986  -0.8124  0.0016 
