# mcs  energy  magnetization 
925  -1.7664  -0.9204 
926  -1.7836  -0.9244 
927  -1.7512  -0.9114 
928  -1.7468  -0.9098 
929  -1.7304  -0.9068 
930  -1.7388  -0.9138 
931  -1.7312  -0.911 
932  -1.754  -0.9136 
933  -1.7372  -0.9092 
934  -1.746  -0.9084 
935  -1.7564  -0.9088 
936  -1.7652  -0.9136 
937  -1.7448  -0.9072 
938  -1.7272  -0.906 
939  -1.7504  -0.9158 
940  -1.758  -0.9158 
941  -1.7568  -0.9128 
942  -1.748  -0.9106 
943  -1.73  -0.9036 
944  -1.7348  -0.9074 
945  -1.7628  -0.9216 
946  -1.7468  -0.9152 
947  -1.7456  -0.9154 
948  -1.7612  -0.9212 
949  -1.7572  -0.9216 
950  -1.7444  -0.914 
951  -1.7652  -0.9202 
